Reporter Country Code,Reporter Countries,baseline_t,from_india_t,remaining_suppliers,remaining_volume_t,share_lost,volume_gap_kt
18,Bhutan,169688.31,169667.98,1,20.33,0.9998801921004459,169.66798
149,Nepal,1370628.835,1364318.415,18,6310.419999999999,0.995395967282419,1364.318415
238,Ethiopia,2044140.8699999999,1975835.05,28,68305.81999999999,0.966584582793455,1975.8350500000001
38,Sri Lanka,930818.99,888885.23,21,41933.76,0.9549496084088271,888.88523
118,Kuwait,396117.34500000003,363152.62,32,32964.725,0.9167804050590109,363.15262
133,Mali,688031.7099999998,613576.19,21,74455.52,0.8917847550950814,613.57619
132,Maldives,58503.385,51858.325,46,6645.0599999999995,0.8864158031197681,51.858324999999994
179,Qatar,336702.10000000003,289350.825,21,47351.275,0.8593674497426657,289.350825
59,Egypt,362763.29,309712.885,21,53050.405,0.8537602716085192,309.712885
196,Seychelles,12663.98,10700.875,28,1963.1049999999998,0.8449851468495686,10.700875
72,Djibouti,976691.39,803848.2150000001,20,172843.175,0.8230319456384274,803.8482150000001
217,Togo,330544.635,268732.30500000005,14,61812.33,0.8129985380038011,268.73230500000005
233,Burkina Faso,495857.03500000003,391766.25,13,104090.785,0.7900790396167314,391.76625
129,Madagascar,1356152.565,1054143.21,20,302009.35500000004,0.7773042924562105,1054.14321
13,Bahrain,131077.09,99622.88,45,31454.21,0.7600327410381174,99.62288000000001
185,Russian Federation,347945.98999999993,260679.65999999997,21,87266.33,0.7491957588015313,260.67965999999996
194,Saudi Arabia,2466695.98,1836762.51,42,629933.47,0.7446246010422412,1836.76251
237,Viet Nam,1221738.7249999999,894427.3049999999,15,327311.42,0.7320937666111877,894.4273049999999
52,Azerbaijan,96452.94000000002,67786.88,31,28666.06,0.702797447128102,67.78688000000001
46,Congo,255654.035,178971.005,20,76683.03000000001,0.7000515560022356,178.971005
225,United Arab Emirates,1231615.265,859041.9199999999,62,372573.34500000003,0.6974921019674111,859.0419199999999
215,United Republic of Tanzania,149.405,104.13499999999999,14,45.269999999999996,0.6969980924333188,0.10413499999999999
137,Mauritius,91806.035,59482.81,20,32323.225,0.6479182986172968,59.48281
